id;level;parent_id;name;lat;lon;min_lat;max_lat;min_lon;max_lon;geometry_wkt
2661364;3;633063;Barcelona;413.948.207.243.577;219.015.236.839.112;413.924.433.533.475;413.971.980.650.438;218.699.535.856.062;219.330.958.244.701;POLYGON((2.18699535856062 41.3927127393158,2.18735292623832 41.3971980650438,2.19330958244701 41.3969286368401,2.19295160867757 41.3924433533475,2.18699535856062 41.3927127393158))
2661365;3;633063;Barcelona;413.903.354.167.202;218.979.463.814.285;413.879.580.638.057;413.927.127.393.158;218.663.787.178.927;219.295.160.867.757;POLYGON((2.18663787178927 41.3882274075442,2.18699535856062 41.3927127393158,2.19295160867757 41.3924433533475,2.19259371590544 41.3879580638057,2.18663787178927 41.3882274075442))
2661366;3;633064;Barcelona;413.900.658.984.337;219.575.064.476.528;413.876.884.132.262;413.924.433.533.475;219.259.371.590.544;219.890.777.779.721;POLYGON((2.19259371590544 41.3879580638057,2.19295160867757 41.3924433533475,2.19890777779721 41.3921736604906,2.1985494790453 41.3876884132262,2.19259371590544 41.3879580638057))
2661367;3;633064;Barcelona;413.945.511.638.148;219.610.878.104.929;413.921.736.604.906;413.969.286.368.401;219.295.160.867.757;219.926.615.763.739;POLYGON((2.19295160867757 41.3924433533475,2.19330958244701 41.3969286368401,2.19926615763739 41.3966589017,2.19890777779721 41.3921736604906,2.19295160867757 41.3924433533475))
2661368;3;633064;Barcelona;413.942.812.963.652;220.206.511.265.418;413.919.036.607.568;413.966.589.017;219.890.777.779.721;22.052.226.517.185;POLYGON((2.19890777779721 41.3921736604906,2.19926615763739 41.3966589017,2.2052226517185 41.3963888596353,2.2048638658286 41.3919036607568,2.19890777779721 41.3921736604906))
2661369;3;633064;Barcelona;413.897.960.732.884;22.017.065.703.554;413.874.184.558.177;413.921.736.604.906;21.985.494.790.453;22.048.638.658.286;POLYGON((2.1985494790453 41.3876884132262,2.19890777779721 41.3921736604906,2.2048638658286 41.3919036607568,2.20450516111791 41.3874184558177,2.1985494790453 41.3876884132262))
2661370;3;633065;Barcelona;413.810.953.495.174;219.503.461.527.309;413.787.179.005.358;413.834.727.682.154;219.187.817.326.917;219.819.126.136.062;POLYGON((2.19187817326917 41.3789874665775,2.19223590410964 41.3834727682154,2.19819126136062 41.3832031599077,2.19783312472219 41.3787179005358,2.19187817326917 41.3789874665775))
2661371;3;633065;Barcelona;41.385.580.627.001;219.539.258.951.353;413.832.031.599.077;413.879.580.638.057;219.223.590.410.964;21.985.494.790.453;POLYGON((2.19223590410964 41.3834727682154,2.19259371590544 41.3879580638057,2.1985494790453 41.3876884132262,2.19819126136062 41.3832031599077,2.19223590410964 41.3834727682154))
2661372;3;633065;Barcelona;413.853.108.441.542;220.134.810.917.984;413.829.332.448.187;413.876.884.132.262;219.819.126.136.062;220.450.516.111.791;POLYGON((2.19819126136062 41.3832031599077,2.1985494790453 41.3876884132262,2.20450516111791 41.3874184558177,2.20414653756537 41.3829332448187,2.19819126136062 41.3832031599077))
2661374;3;633066;Barcelona;41.399.575.321.787;218.455.327.983.347;413.971.980.650.438;414.019.525.481.759;21.813.961.891.023;218.771.057.484.334;POLYGON((2.1813961891023 41.3974671862989,2.18175343150362 41.4019525481759,2.18771057484334 41.4016833847274,2.18735292623832 41.3971980650438,2.1813961891023 41.3974671862989))
