ID_INE_NUM_Provincia,Nom_Provincia_Catala,Nom_Provincia_INE,ID_INE_NUM_CCAA,Nom_CCAA,MD_DATA_CANVI,lon,lat
43,Tarragona,Tarragona,09,Catalunya,2017,1.0357188306449,41.0985698386734
44,Terol,Teruel,02,Aragó,2017,-0.833542012763775,40.6932115964187
45,Toledo,Toledo,08,Castella - la Manxa,2017,-4.14161339461662,39.8812196713714
47,Valladolid,Valladolid,07,Castella i Lleó,2017,-4.77069497578397,41.6326420889717
46,València,València/Valencia,10,Comunitat Valenciana,2017,-0.433874029206447,39.3808386103556
49,Zamora,Zamora,07,Castella i Lleó,2017,-5.82430690641847,41.6990591639568
01,Àlaba,Araba/Álava,16,País Basc,2017,-2.69468098284624,42.8530700468851
05,Àvila,Ávila,07,Castella i Lleó,2017,-4.93293657078931,40.6192322865215
03,Alacant,Alicante/Alacant,10,Comunitat Valenciana,2018,-0.535963693648153,38.4110326426299
02,Albacete,Albacete,08,Castella - la Manxa,2018,-1.85455818628903,38.9244808200481
04,Almeria,Almería,01,Andalusia,2018,-2.46176701362279,36.9744894824685
33,Astúries,Asturias,03,Principat d'Astúries,2018,-5.82218583953998,43.4172707089815
06,Badajoz,Badajoz,11,Extremadura,2018,-6.35129455490369,38.7428566174233
08,Barcelona,Barcelona,09,Catalunya,2018,2.11755584014892,41.4840621905914
48,Biscaia,Bizkaia,16,País Basc,2018,-2.91180693523122,43.277955154546
09,Burgos,Burgos,07,Castella i Lleó,2018,-3.58499140900582,42.2854824013819
11,Cadis,Cádiz,01,Andalusia,2018,-5.96979999663523,36.5080945170749
39,Cantàbria,Cantabria,06,Cantàbria,2018,-3.86490885998623,43.367399666405
12,Castelló de la Plana,Castelló/Castellón,10,Comunitat Valenciana,2018,-0.0949886822595294,40.0555899460808
51,Ceuta,Ceuta,18,Ceuta,2018,-5.32434907372201,35.887466659578
13,Ciudad Real,Ciudad Real,08,Castella - la Manxa,2018,-3.64998693185708,38.9612670016271
16,Conca,Cuenca,08,Castella - la Manxa,2018,-2.23779788917616,39.906639868728
15,"Corunya, la",A Coruña,12,Galícia,2018,-8.4809353645676,43.1718540961552
10,Càceres,Cáceres,11,Extremadura,2018,-6.15008293017327,39.764691654578
14,Còrdova,Córdoba,01,Andalusia,2018,-4.73168325109724,37.820209841997404
17,Girona,Girona,09,Catalunya,2018,2.7993590705179,42.0520726715469
18,Granada,Granada,01,Andalusia,2018,-3.53272165304922,37.1635071246879
