id,name,Comarca,Abreviatura comarca,Província,Longitud,Latitud
34091717178,Sant Pere Pescador,Alt Empordà,AEM,Girona,3.083283056,42.188119833
34092525073,Cervià de les Garrigues,Garrigues,GAR,Lleida,0.859217612,41.424627618
34090808035,Calella,Maresme,MAR,Barcelona,2.65721784,41.613271421
34090808037,Calldetenes,Osona,OSO,Barcelona,2.284270015,41.924124237
34090808056,Castelldefels,Baix Llobregat,BLL,Barcelona,1.976232924,41.280269457
34090808073,Cornellà de Llobregat,Baix Llobregat,BLL,Barcelona,2.070159567,41.355171447
34090808083,Folgueroles,Osona,OSO,Barcelona,2.318462912,41.938626824
34090808108,Lliçà de Vall,Vallès Oriental,VOR,Barcelona,2.239084658,41.58630762
34090808112,Manlleu,Osona,OSO,Barcelona,2.283578064,41.999939102
34090808115,Martorelles,Vallès Oriental,VOR,Barcelona,2.242767079,41.525703888
34090808126,Montgat,Maresme,MAR,Barcelona,2.278681615,41.466945198
34091717086,La Jonquera,Alt Empordà,AEM,Girona,2.87315709,42.416903579
34090808128,Monistrol de Calders,Moianès,MOI,Barcelona,2.014631919,41.760322586
34090808142,La Nou de Berguedà,Berguedà,BER,Barcelona,1.885103187,42.165884405
34091717167,Sant Joan de les Abadesses,Ripollès,RIP,Girona,2.284830772,42.232808048
34092525118,Juncosa,Garrigues,GAR,Lleida,0.775456987,41.371436095
34092525119,Juneda,Garrigues,GAR,Lleida,0.825199319,41.548707644
34092525123,Lladorre,Pallars Sobirà,PSO,Lleida,1.249167838,42.621614112
34092525226,Torrebesses,Segrià,SGR,Lleida,0.594026858,41.426261072
34092525245,Vilaller,Alta Ribagorça,ARI,Lleida,0.717205843,42.476393315
34090808141,Navàs,Bages,BAG,Barcelona,1.879336762,41.899840834
34090808193,Sant Iscle de Vallalta,Maresme,MAR,Barcelona,2.569300136,41.623865928
34090808159,Parets del Vallès,Vallès Oriental,VOR,Barcelona,2.233577244,41.573165532
34094343171,Vila-seca,Tarragonès,TAR,Tarragona,1.144805793,41.110949229
34090808180,Ripollet,Vallès Occidental,VOC,Barcelona,2.15349201,41.496501631
34090808196,Sant Andreu de la Barca,Baix Llobregat,BLL,Barcelona,1.971403604,41.449999657
34090808221,Sant Just Desvern,Baix Llobregat,BLL,Barcelona,2.075560984,41.385728278
34090808225,Sant Martí d'Albars,Osona,OSO,Barcelona,2.074148562,42.027965552
34090808236,Sant Quintí de Mediona,Alt Penedès,APE,Barcelona,1.663146513,41.462349591
34090808263,Sant Vicenç dels Horts,Baix Llobregat,BLL,Barcelona,2.009712625,41.393336667
34090808274,Súria,Bages,BAG,Barcelona,1.753565253,41.831466683
34090808292,Vallbona d'Anoia,Anoia,ANO,Barcelona,1.709448701,41.519985372
34090808295,Vallirana,Baix Llobregat,BLL,Barcelona,1.931881445,41.388056111
34090808029,Cabrera de Mar,Maresme,MAR,Barcelona,2.393308926,41.526010285
34090808030,Cabrils,Maresme,MAR,Barcelona,2.367716483,41.526223857
34090808004,Alpens,Osona,OSO,Barcelona,2.101142098,42.119261415
34094343119,Puigpelat,Alt Camp,ACA,Tarragona,1.297636558,41.278722708
34090808007,Arenys de Munt,Maresme,MAR,Barcelona,2.53916522,41.610949943
34090808008,Argençola,Anoia,ANO,Barcelona,1.444155159,41.597531982
34090808042,Cànoves i Samalús,Vallès Oriental,VOR,Barcelona,2.352943715,41.693919367
34090808040,Canet de Mar,Maresme,MAR,Barcelona,2.582425003,41.588484712
34090808010,Artés,Bages,BAG,Barcelona,1.95486944,41.798136994
34090808011,Avià,Berguedà,BER,Barcelona,1.82515717,42.077285956
34090808014,Aiguafreda,Vallès Oriental,VOR,Barcelona,2.249396729,41.768885037
34090808018,Balsareny,Bages,BAG,Barcelona,1.876819518,41.86321312
34090808020,Begues,Baix Llobregat,BLL,Barcelona,1.924677961,41.330173965
34090808021,Bellprat,Anoia,ANO,Barcelona,1.434454531,41.517247322
34090808023,Bigues i Riells,Vallès Oriental,VOR,Barcelona,2.208271917,41.67932227
34090808043,Canyelles,Garraf,GAF,Barcelona,1.722358067,41.285755981
34090808044,Capellades,Anoia,ANO,Barcelona,1.685814119,41.530912121
34090808063,Castellolí,Anoia,ANO,Barcelona,1.700317601,41.598316481
34090808305,Vilafranca del Penedès,Alt Penedès,APE,Barcelona,1.697222865,41.346497608
34090808034,Calders,Moianès,MOI,Barcelona,1.991322594,41.78927569
34090808036,Calonge de Segarra,Anoia,ANO,Barcelona,1.493838563,41.74049243
34090808038,Callús,Bages,BAG,Barcelona,1.783871713,41.781240733
34090808201,Sant Boi de Lluçanès,Osona,OSO,Barcelona,2.15178496,42.058770734
34090808098,Sant Salvador de Guardiola,Bages,BAG,Barcelona,1.766295575,41.679232461
34090808045,Capolat,Berguedà,BER,Barcelona,1.753178363,42.077236538
34090808077,Esplugues de Llobregat,Baix Llobregat,BLL,Barcelona,2.087992375,41.377697766
34090808048,Carme,Anoia,ANO,Barcelona,1.62304521,41.530897864
34090808046,Cardedeu,Vallès Oriental,VOR,Barcelona,2.355346668,41.638291792
34090808097,Gualba,Vallès Oriental,VOR,Barcelona,2.501920371,41.732046397
34090808050,Castellar del Riu,Berguedà,BER,Barcelona,1.708727309,42.131049322
34090808049,Casserres,Berguedà,BER,Barcelona,1.841287149,42.014360096
34090808135,Montmeló,Vallès Oriental,VOR,Barcelona,2.247898536,41.551517208
34092525100,Gósol,Berguedà,BER,Lleida,1.660625117,42.237038372
34090808271,Sobremunt,Osona,OSO,Barcelona,2.166839648,42.036132713
34090808055,Castellcir,Moianès,MOI,Barcelona,2.148900039,41.760737454
34090808057,Castell de l'Areny,Berguedà,BER,Barcelona,1.945196781,42.173216064
34092525239,Les Valls de Valira,Alt Urgell,AUR,Lleida,1.456737734,42.379083424
34090808060,Castellfollit de Riubregós,Anoia,ANO,Barcelona,1.437574989,41.776073793
34092525218,Tarrés,Garrigues,GAR,Lleida,1.020144555,41.422900823
34092525234,Tremp,Pallars Jussà,PJU,Lleida,0.895896972,42.166918113
34092525238,Vallbona de les Monges,Urgell,URG,Lleida,1.088920757,41.525048991
